PERMNO,disc_date,fdate,change,shares,category,,1,new position: did not hold position in previous quarter ,,,
11308,20000515,20000331,0,200000000,,,2,increase: held position in previous quarter and added shares to position,,,
12036,20000515,20000331,4706200,7340700,,,3,no change: did not change position,,,
16424,20000515,20000331,0,96000000,,,4,"decrease: decreased position, but still maintained positive position",,,
32379,20000515,20000331,2222500,6480700,,,5,liquidation: sold all holdings in security,,,
38906,20000515,20000331,0,5703087,,,,,,,
48506,20000515,20000331,11877200,24000000,,,,,,,
53225,20000515,20000331,0,1727765,,,,,,,
59176,20000515,20000331,0,50536900,,,,,,,
68144,20000515,20000331,-860000,5781400,,,,,,,
70519,20000515,20000331,-2550024,5512325,,,,,,,
76638,20000515,20000331,3625000,15750000,,,,,,,
84073,20000515,20000331,0,816655,,,,,,,
11308,20000814,20000630,0,200000000,,,,,,,
12036,20000814,20000630,0,7340700,,,,,,,
15077,20000814,20000630,1520900,1520900,,,,,,,
15720,20000814,20000630,921000,921000,,,,,,,
16424,20000814,20000630,0,96000000,,,,,,,
32379,20000814,20000630,519300,7000000,,,,,,,
38906,20000814,20000630,0,5703087,,,,,,,
47941,20000814,20000630,3636800,3636800,,,,,,,
48506,20000814,20000630,0,24000000,,,,,,,
49905,20000814,20000630,4894500,4894500,,,,,,,
53225,20000814,20000630,0,1727765,,,,,,,
57665,20000814,20000630,6440600,6440600,,,,,,,
59176,20000814,20000630,101073800,151610700,,,,,,,
59192,20000814,20000630,2109800,2109800,,,,,,,
68144,20000814,20000630,860000,6641400,,,,,,,
70519,20000814,20000630,122787,5635112,,,,,,,
75789,20000814,20000630,48013200,48013200,,,,,,,
76638,20000814,20000630,0,15750000,,,,,,,
77546,20000814,20000630,9694000,9694000,,,,,,,
84073,20000814,20000630,0,816655,,,,,,,
86218,20000814,20000630,14288100,14288100,,,,,,,
11308,20001114,20000930,0,200000000,,,,,,,
12036,20001114,20000930,0,7340700,,,,,,,
16424,20001114,20000930,0,96000000,,,,,,,
32379,20001114,20000930,0,7000000,,,,,,,
35554,20001114,20000930,159600,669910,,,,,,,
38906,20001114,20000930,0,5703087,,,,,,,
47941,20001114,20000930,0,3636800,,,,,,,
48506,20001114,20000930,0,24000000,,,,,,,
49905,20001114,20000930,0,4894500,,,,,,,
52396,20001114,20000930,179400,179400,,,,,,,
53225,20001114,20000930,0,1727765,,,,,,,
54412,20001114,20000930,2194200,2194200,,,,,,,
57665,20001114,20000930,-513800,5926800,,,,,,,
59176,20001114,20000930,0,151610700,,,,,,,
62308,20001114,20000930,1410900,2073462,,,,,,,
66157,20001114,20000930,21495001,21495001,,,,,,,
68144,20001114,20000930,0,6641400,,,,,,,
70519,20001114,20000930,-670297,4964815,,,,,,,
76638,20001114,20000930,0,15750000,,,,,,,
77546,20001114,20000930,-149100,9544900,,,,,,,
84073,20001114,20000930,0,816655,,,,,,,
85348,20001114,20000930,174500,174500,,,,,,,
86218,20001114,20000930,-500000,13788100,,,,,,,
89341,20001114,20000930,26000,26000,,,,,,,
11308,20010214,20001231,0,200000000,,,,,,,
12036,20010214,20001231,0,7340700,,,,,,,
16424,20010214,20001231,0,96000000,,,,,,,
16707,20010214,20001231,4786900,4786900,,,,,,,
26403,20010214,20001231,318342,318342,,,,,,,
32379,20010214,20001231,0,7000000,,,,,,,
35554,20010214,20001231,6038850,6708760,,,,,,,
38906,20010214,20001231,0,5703087,,,,,,,
47941,20010214,20001231,0,3636800,,,,,,,
48347,20010214,20001231,54100,54100,,,,,,,
48506,20010214,20001231,0,24000000,,,,,,,
49373,20010214,20001231,7697500,7697500,,,,,,,
49905,20010214,20001231,0,4894500,,,,,,,
52396,20010214,20001231,0,179400,,,,,,,
53225,20010214,20001231,0,1727765,,,,,,,
54412,20010214,20001231,0,2194200,,,,,,,
59176,20010214,20001231,0,151610700,,,,,,,
62308,20010214,20001231,0,2073462,,,,,,,
68144,20010214,20001231,0,6641400,,,,,,,
70519,20010214,20001231,-364256,4600559,,,,,,,
76573,20010214,20001231,3217100,3217100,,,,,,,
76638,20010214,20001231,0,15750000,,,,,,,
77855,20010214,20001231,795200,795200,,,,,,,
79244,20010214,20001231,6500000,6500000,,,,,,,
84073,20010214,20001231,0,816655,,,,,,,
84663,20010214,20001231,1907100,1907100,,,,,,,
85926,20010214,20001231,4304900,4304900,,,,,,,
86218,20010214,20001231,1555100,15343200,,,,,,,
88590,20010214,20001231,12000000,12000000,,,,,,,
11308,20010515,20010331,0,200000000,,,,,,,
12036,20010515,20010331,0,7340700,,,,,,,
12052,20010515,20010331,222177,222177,,,,,,,
16424,20010515,20010331,0,96000000,,,,,,,
22541,20010515,20010331,4921300,4921300,,,,,,,
32379,20010515,20010331,-51300,6948700,,,,,,,
35554,20010515,20010331,0,6708760,,,,,,,
38703,20010515,20010331,55071380,55071380,,,,,,,
38906,20010515,20010331,0,5703087,,,,,,,
47941,20010515,20010331,0,3636800,,,,,,,
48347,20010515,20010331,0,54100,,,,,,,
48506,20010515,20010331,0,24000000,,,,,,,
49373,20010515,20010331,187100,7884600,,,,,,,
52396,20010515,20010331,0,179400,,,,,,,
53225,20010515,20010331,0,1727765,,,,,,,
59176,20010515,20010331,0,151610700,,,,,,,
62308,20010515,20010331,0,2073462,,,,,,,
68144,20010515,20010331,0,6641400,,,,,,,
70519,20010515,20010331,-811098,3789461,,,,,,,
76573,20010515,20010331,-200,3216900,,,,,,,
76638,20010515,20010331,-2191900,13558100,,,,,,,
79244,20010515,20010331,0,6500000,,,,,,,
84073,20010515,20010331,0,816655,,,,,,,
85926,20010515,20010331,-352600,3952300,,,,,,,
86218,20010515,20010331,4568200,19911400,,,,,,,
88590,20010515,20010331,0,12000000,,,,,,,
10145,20010814,20010630,2250000,2250000,,,,,,,
11308,20010814,20010630,0,200000000,,,,,,,
12036,20010814,20010630,0,7340700,,,,,,,
16424,20010814,20010630,0,96000000,,,,,,,
22541,20010814,20010630,0,4921300,,,,,,,
32379,20010814,20010630,0,6948700,,,,,,,
35554,20010814,20010630,0,6708760,,,,,,,
38703,20010814,20010630,-1806300,53265080,,,,,,,
38906,20010814,20010630,0,5703087,,,,,,,
47941,20010814,20010630,0,3636800,,,,,,,
48347,20010814,20010630,0,54100,,,,,,,
48506,20010814,20010630,0,24000000,,,,,,,
49373,20010814,20010630,0,7884600,,,,,,,
52396,20010814,20010630,-73600,105800,,,,,,,
53225,20010814,20010630,0,1727765,,,,,,,
57665,20010814,20010630,-996100,4930700,,,,,,,
59176,20010814,20010630,0,151610700,,,,,,,
62308,20010814,20010630,0,2073462,,,,,,,
66157,20010814,20010630,-15210162,6284839,,,,,,,
68144,20010814,20010630,-835100,5806300,,,,,,,
70519,20010814,20010630,-828031,2961430,,,,,,,
75573,20010814,20010630,5000000,5000000,,,,,,,
76573,20010814,20010630,0,3216900,,,,,,,
76638,20010814,20010630,-5521300,8036800,,,,,,,
77546,20010814,20010630,-1694900,7850000,,,,,,,
79244,20010814,20010630,0,6500000,,,,,,,
84073,20010814,20010630,0,816655,,,,,,,
86218,20010814,20010630,88600,20000000,,,,,,,
88590,20010814,20010630,-5054600,6945400,,,,,,,
11308,20011114,20010930,0,200000000,,,,,,,
12036,20011114,20010930,0,7340700,,,,,,,
16424,20011114,20010930,0,96000000,,,,,,,
22541,20011114,20010930,0,4921300,,,,,,,
32379,20011114,20010930,0,6948700,,,,,,,
35554,20011114,20010930,0,6708760,,,,,,,
38703,20011114,20010930,0,53265080,,,,,,,
38906,20011114,20010930,0,5703087,,,,,,,
47941,20011114,20010930,0,3636800,,,,,,,
48347,20011114,20010930,0,54100,,,,,,,
48506,20011114,20010930,0,24000000,,,,,,,
49373,20011114,20010930,7884600,15769200,,,,,,,
53225,20011114,20010930,0,1727765,,,,,,,
57665,20011114,20010930,0,4930700,,,,,,,
59176,20011114,20010930,0,151610700,,,,,,,
62308,20011114,20010930,0,2073462,,,,,,,
68144,20011114,20010930,0,5806300,,,,,,,
70519,20011114,20010930,-217551,2743879,,,,,,,
76573,20011114,20010930,0,3216900,,,,,,,
76638,20011114,20010930,612300,8649100,,,,,,,
77546,20011114,20010930,0,7850000,,,,,,,
79244,20011114,20010930,0,6500000,,,,,,,
84073,20011114,20010930,0,816655,,,,,,,
86218,20011114,20010930,1586100,21586100,,,,,,,
11308,20020214,20011231,0,200000000,,,,,,,
12036,20020214,20011231,0,7340700,,,,,,,
16424,20020214,20011231,0,96000000,,,,,,,
23026,20020214,20011231,2144205,2144205,,,,,,,
32379,20020214,20011231,0,6948700,,,,,,,
35554,20020214,20011231,0,6708760,,,,,,,
38703,20020214,20011231,0,53265080,,,,,,,
38906,20020214,20011231,0,5703087,,,,,,,
47941,20020214,20011231,0,3636800,,,,,,,
48347,20020214,20011231,0,54100,,,,,,,
48506,20020214,20011231,0,24000000,,,,,,,
49373,20020214,20011231,230000,15999200,,,,,,,
49905,20020214,20011231,1968600,1968600,,,,,,,
53225,20020214,20011231,0,1727765,,,,,,,
57665,20020214,20011231,0,4930700,,,,,,,
59176,20020214,20011231,0,151610700,,,,,,,
62308,20020214,20011231,0,2073462,,,,,,,
68144,20020214,20011231,0,5806300,,,,,,,
76573,20020214,20011231,0,3216900,,,,,,,
76638,20020214,20011231,0,8649100,,,,,,,
76702,20020214,20011231,1867500,1867500,,,,,,,
79244,20020214,20011231,0,6500000,,,,,,,
84073,20020214,20011231,0,816655,,,,,,,
85926,20020214,20011231,-904000,3048300,,,,,,,
86218,20020214,20011231,413900,22000000,,,,,,,
88590,20020214,20011231,-1702000,5243400,,,,,,,
11308,20020515,20020331,0,200000000,,,,,,,
12036,20020515,20020331,0,7340700,,,,,,,
